Work Item Type,Title,Description,State,Priority,Tags,Story Points,Acceptance Criteria,Assigned To,Area Path,Iteration Path
Test Case,TC-12 - VerifyAsync token expirado retorna SubscriptionExpired,"Verificar que LicenseVerifierService detecta token expirado y retorna error apropiado. Steps: 1. Generar token RS256 con fecha de expiración en el pasado. 2. Ejecutar VerifyAsync. Expected: Error SubscriptionExpiredError.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-13 - VerifyAsync firma inválida retorna InvalidSignature,"Verificar que el sistema detecta tokens RS256 con firma manipulada. Steps: 1. Generar token con clave privada incorrecta. 2. Ejecutar VerifyAsync. Expected: Error InvalidSignatureError.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-14 - VerifyAsync mismatch de terminalId retorna TerminalMismatch,"Verificar que el token no es válido para un terminal diferente al que fue emitido. Steps: 1. Token con terminal_id=X. 2. VerifyAsync con contexto terminal_id=Y. Expected: Error TerminalMismatchError.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-15 - VerifyAsync sin token almacenado retorna LicenseNotFound,"Verificar que el sistema retorna error apropiado cuando no hay licencia almacenada. Steps: 1. Archivo de licencia no existe. 2. Ejecutar VerifyAsync. Expected: Error LicenseNotFoundError.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-16 - ClockTamper detectado cuando tiempo retrocede,"Verificar que TimeGuardService detecta manipulación del reloj del sistema. Steps: 1. Persistir LastKnownTime=T1. 2. Ejecutar AdvanceTimeAsync con T2 < T1. Expected: Error ClockTamperDetectedError.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-17 - AdvanceTime actualiza LKT cuando tiempo avanza correctamente,"Verificar que el LastKnownTime se actualiza cuando se avanza el tiempo legítimamente. Steps: 1. LKT almacenado = T1. 2. AdvanceTimeAsync con T2 > T1. Expected: LKT persiste T2, retorna Success.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-18 - AdvanceTime no actualiza LKT cuando tiempo es menor,"Verificar que el sistema no regresa el LKT a un valor menor aunque no sea tamper. Steps: 1. LKT = T1. 2. AdvanceTimeAsync con T2 < T1. Expected: LKT sin cambio, no error.",Active,2,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-19 - Middleware permite rutas whitelisted sin licencia,"Verificar que /health, /api/device/pair y /api/device/renew-license no requieren licencia. Steps: 1. Request a ruta whitelisted sin licencia válida. 2. InvokeAsync del SubscriptionGuardMiddleware. Expected: Next() es llamado, sin 402.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-20 - Middleware bloquea request con licencia inválida (HTTP 402),"Verificar que el middleware retorna 402 cuando la licencia no es válida. Steps: 1. LicenseVerifier retorna Failure. 2. Request a endpoint protegido. Expected: Response 402, body contiene razón de fallo.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-21 - CreateSale con items válidos persiste en almacenamiento local,"Verificar que CreateSaleCommandHandler crea la venta correctamente con turno abierto y productos disponibles. Steps: 1. Mock shift abierto y productos con stock suficiente. 2. Ejecutar CreateSaleCommand. Expected: SaleRepository.AddAsync llamado una vez. UoW.CommitAsync llamado.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-22 - CreateSale sin turno abierto retorna error shift.not_found,"Verificar que la venta falla si no hay turno activo en el terminal. Steps: 1. ShiftService retorna error shift.not_found. 2. Ejecutar CreateSaleCommand. Expected: Result con error shift.not_found. Repositorio NO es invocado.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-23 - VoidSale con razón válida revierte stock y emite evento,"Verificar que VoidSaleCommandHandler revierte la venta, restaura el stock y emite evento al Outbox. Steps: 1. Venta en estado completado. 2. Ejecutar VoidSaleCommand. Expected: Outbox.AddAsync llamado. UoW.CommitAsync llamado.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-24 - VoidSale de otro turno retorna error sale.wrong_shift,"Verificar que solo se puede anular ventas del turno activo actual. Steps: 1. Venta pertenece a shiftId diferente al turno activo. 2. Ejecutar VoidSaleCommand. Expected: Error sale.wrong_shift. Sin commit.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-25 - SaleItem calcula totales correctamente,"Verificar que los cálculos de subtotal, impuestos y total en SaleItem son correctos. Steps: 1. Crear SaleItem con qty=5, unitPrice=100, taxRate=18. Expected: Subtotal=500, Tax=90, Total=590.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-26 - Finalize venta con pago insuficiente retorna error de negocio,"Verificar que la venta no se finaliza si el pago no cubre el total. Steps: 1. Crear venta con items por $590. 2. Agregar pago de $500. 3. Llamar Finalize. Expected: OperationResult.Bad con error de negocio.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-27 - Finalize con pago completo emite SaleCompleted domain event,"Verificar que al finalizar correctamente la venta se emite el evento de dominio. Steps: 1. Items y pagos correctos. 2. Llamar Finalize. Expected: DomainEvents contiene SaleCompletedEvent.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-28 - AddPayment con crédito sin customerId retorna error validación,"Verificar que no se puede agregar pago con método crédito sin asociar un cliente. Steps: 1. Crear venta. 2. AddPayment con method=credit y customerId=null. Expected: ValidationError.",Active,2,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-29 - Open shift con datos válidos retorna evento de apertura,"Verificar que Shift.Open emite ShiftOpenedEvent y establece estado abierto. Steps: 1. Llamar Shift.Open con openedBy y montoInicial. Expected: Estado=Open. DomainEvents contiene ShiftOpenedEvent.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-30 - Close shift calcula diferencia de caja correctamente,"Verificar que el cierre del turno calcula la diferencia entre caja esperada y declarada. Steps: 1. Turno abierto con ventas registradas. 2. Llamar Close con monto declarado. Expected: Diferencia = declarado - esperado.",Active,1,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-31 - Close shift con notas mayores a 500 chars retorna error,"Verificar que la validación de notas al cierre se aplica correctamente. Steps: 1. Crear notas de más de 500 caracteres. 2. Llamar Close. Expected: OperationResult.Bad con ValidationError.",Active,2,Sales;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-32 - OutboxWorker procesa mensajes pendientes en orden cronológico,"Verificar que el worker procesa los mensajes del Outbox en orden de creación. Steps: 1. Tres OutboxMessages con diferentes CreatedAt. 2. Ejecutar ExecuteAsync. Expected: Mensajes procesados en orden ascendente de CreatedAt.",Active,1,Sales;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-33 - OutboxWorker no procesa cuando offline,"Verificar que el worker no consulta la BD cuando no hay conectividad. Steps: 1. Simular modo offline. 2. Ejecutar ExecuteAsync. Expected: Sin llamadas al repositorio de Outbox.",Active,1,Sales;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-34 - OutboxWorker reintenta fallos transitorios e incrementa RetryCount,"Verificar que los mensajes con error transitorio se reintentan y se registra el contador. Steps: 1. Handler retorna TransientFailure. 2. Ejecutar. Expected: RetryCount++ y LastError guardado. No marcado como procesado.",Active,1,Sales;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-35 - OutboxWorker marca permanente failure y no reintenta más allá del límite,"Verificar que al alcanzar el máximo de reintentos el mensaje se marca con error definitivo. Steps: 1. RetryCount = MaxRetries. 2. Nuevo intento. Expected: ProcessedAt seteado con error MaxRetriesError.",Active,1,Sales;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-36 - OutboxWorker continúa procesando si un mensaje falla,"Verificar que el fallo de un mensaje no interrumpe el procesamiento de los siguientes. Steps: 1. Mensaje 1 falla. Mensaje 2 y 3 disponibles. 2. ExecuteAsync. Expected: Mensajes 2 y 3 procesados correctamente.",Active,1,Sales;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-37 - OutboxWorker borra mensajes procesados fuera de ventana de retención,"Verificar que los mensajes ya procesados fuera del período de retención se eliminan. Steps: 1. Mensaje procesado hace más de RetentionDays días. 2. ExecuteAsync. Expected: Mensaje eliminado del Outbox.",Active,1,Sales;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-38 - OutboxWorker no borra mensajes pendientes aún no procesados,"Verificar que solo los mensajes con ProcessedAt != null y fuera de retención son eliminados. Steps: 1. Mensaje pendiente (ProcessedAt=null) antiguo. 2. ExecuteAsync. Expected: Mensaje NO eliminado.",Active,1,Sales;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-39 - CatalogSync inserta productos nuevos desde la nube,"Verificar que los productos no existentes en la BD local se insertan durante la sincronización. Steps: 1. Nube retorna producto con ID desconocido localmente. 2. SyncAsync. Expected: Producto insertado en repositorio local.",Active,1,Inventory;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-40 - CatalogSync hace upsert de productos existentes,"Verificar que los productos ya existentes se actualizan con los datos del cloud. Steps: 1. Producto ya existe con datos diferentes. 2. SyncAsync. Expected: Producto actualizado con datos de la nube.",Active,1,Inventory;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-41 - CatalogSync no llama al API cuando está offline,"Verificar que el sync se omite completamente cuando no hay conectividad. Steps: 1. Modo offline activo. 2. SyncAsync. Expected: Ninguna llamada HTTP realizada.",Active,1,Inventory;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-42 - CatalogSync actualiza LastCatalogSync al completar con éxito,"Verificar que la fecha de última sincronización se actualiza en la configuración del sistema. Steps: 1. Sincronización exitosa. 2. SyncAsync. Expected: SystemConfig.LastCatalogSync actualizado.",Active,1,Inventory;RF-02;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 5
Test Case,TC-43 - Crear producto con datos válidos emite ProductCreatedEvent,"Verificar que Product.Create genera el agregado correctamente y emite evento de dominio. Steps: 1. Llamar Product.Create con nombre, SKU, precio y tax válidos. Expected: Result exitoso. DomainEvents contiene ProductCreatedEvent.",Active,1,Inventory;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-44 - UpdatePrice emite evento y actualiza precios del producto,"Verificar que la actualización de precio registra el cambio y emite evento. Steps: 1. Producto activo. 2. Llamar UpdatePrice con nuevo precio. Expected: Precio actualizado. Evento emitido.",Active,1,Inventory;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-45 - Deactivate producto establece IsActive=false y emite evento,"Verificar que desactivar un producto cambia su estado y notifica via dominio event. Steps: 1. Producto activo. 2. Llamar Deactivate. Expected: IsActive=false. DomainEvents con ProductDeactivatedEvent.",Active,2,Inventory;RF-01;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-46 - LocalDeviceTenantProvider retorna tenantId cuando archivo es válido,"Verificar que el proveedor de tenant lee correctamente el archivo de identidad del dispositivo. Steps: 1. Archivo de identidad existe y es válido. 2. GetTenantId. Expected: GUID correcto.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-47 - LocalDeviceTenantProvider retorna Guid.Empty cuando archivo no existe,"Verificar comportamiento seguro cuando el dispositivo no está pareado. Steps: 1. Archivo de identidad no existe. 2. GetTenantId. Expected: Guid.Empty.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-48 - LocalDeviceTenantProvider retorna false cuando archivo está corrompido,"Verificar que la corrupción del archivo de identidad es manejada de forma segura. Steps: 1. Archivo con contenido inválido. 2. IsPaired. Expected: false. Sin excepción no manejada.",Active,1,Security;RF-04;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 3
Test Case,TC-49 - Frontend Login form inválido cuando campos están vacíos,"Verificar que el formulario de login detecta campos requeridos faltantes. Steps: 1. Formulario sin email ni password. 2. Verificar loginForm.invalid. Expected: true. Submit no invoca AuthService.",Active,1,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-50 - Frontend Login form valida formato de email,"Verificar que el campo email rechaza entradas sin formato válido. Steps: 1. Ingresar valor 'no-es-email' en campo email. 2. Verificar emailControl.errors. Expected: error 'email' presente.",Active,2,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-51 - Frontend Login submit con form inválido no llama AuthService,"Verificar que onSubmit es un no-op cuando el formulario es inválido. Steps: 1. Form inválido. 2. Llamar onSubmit(). Expected: AuthService.login() NO invocado.",Active,1,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-52 - Frontend Login navega a dashboard al autenticar correctamente,"Verificar que un login exitoso redirige al usuario al panel principal. Steps: 1. AuthService.login retorna Observable exitoso. 2. Llamar onSubmit() con form válido. Expected: Router.navigate llamado con '/portal/dashboard'.",Active,1,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-53 - Frontend Login muestra mensaje de error en fallo de autenticación,"Verificar que el componente expone el error cuando las credenciales son rechazadas. Steps: 1. AuthService.login retorna error. 2. onSubmit(). Expected: component.error contiene mensaje. loading=false.",Active,1,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-54 - AuthService.isAuthenticated retorna false con token nulo,"Verificar que la sesión se considera inválida cuando no hay token en storage. Steps: 1. Token=null en signal. 2. isAuthenticated(). Expected: false.",Active,1,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-55 - AuthService.isAuthenticated retorna false con token expirado,"Verificar que tokens JWT expirados son detectados correctamente. Steps: 1. Token JWT con exp en el pasado. 2. isAuthenticated(). Expected: false.",Active,1,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-56 - AuthService.logout limpia localStorage y signals,"Verificar que el logout elimina todos los datos de sesión. Steps: 1. Sesión activa con token y usuario. 2. logout(). Expected: localStorage.tc_token y tc_user eliminados. currentUser signal = null.",Active,1,Auth;Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-57 - PosLayout renderiza correctamente,"Verificar que el layout del POS se inicializa sin errores. Steps: 1. Crear componente PosLayout. Expected: componentInstance no nulo. Sin errores en consola.",Active,3,Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
Test Case,TC-58 - AuthLayout renderiza correctamente,"Verificar que el layout de autenticación se carga correctamente. Steps: 1. Crear componente AuthLayout. Expected: componentInstance no nulo.",Active,3,Frontend;Automated,,,"Francisco D. Castro",TuColmadoRD,TuColmadoRD\Sprint 4
